epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.512,1.47908,1.20642,1.16791,0.35711,0.41469,0.3523,0.2062,1.40271,1.15616,1.18463,0.000369863,0.000369863,0.000369863
2,482.057,1.44946,1.11345,1.1517,0.442,0.45629,0.40611,0.2404,1.37423,0.97282,1.15847,0.000725541,0.000725541,0.000725541
3,713.463,1.41354,1.06913,1.13507,0.45025,0.47574,0.43882,0.2637,1.37373,0.95141,1.16333,0.00106655,0.00106655,0.00106655
4,938.741,1.38984,1.02504,1.11719,0.50206,0.49239,0.46923,0.28587,1.26816,0.91714,1.10657,0.00104501,0.00104501,0.00104501
5,1163.56,1.35478,0.98679,1.10274,0.53986,0.54728,0.52268,0.32212,1.29463,0.85609,1.10458,0.00102301,0.00102301,0.00102301
6,1395.94,1.33696,0.95714,1.09153,0.52893,0.56683,0.54102,0.34385,1.26849,0.82265,1.08909,0.00100101,0.00100101,0.00100101
7,1622.45,1.31388,0.92827,1.08067,0.57232,0.58239,0.56133,0.35749,1.25476,0.81251,1.09901,0.000979013,0.000979013,0.000979013
8,1847.69,1.30115,0.92508,1.07631,0.60226,0.60763,0.59343,0.37874,1.23895,0.80009,1.07607,0.000957015,0.000957015,0.000957015
9,2063.68,1.2817,0.89063,1.06819,0.61728,0.60439,0.60175,0.39095,1.2237,0.79033,1.0736,0.000935018,0.000935018,0.000935018
10,2282.69,1.27451,0.87988,1.06248,0.58313,0.60417,0.59368,0.37929,1.24458,0.79299,1.07625,0.00091302,0.00091302,0.00091302
11,2499.14,1.26388,0.87066,1.05933,0.62944,0.60762,0.6201,0.40258,1.23056,0.77665,1.0693,0.000891022,0.000891022,0.000891022
12,2730.64,1.2616,0.86089,1.05933,0.64038,0.62701,0.63702,0.41843,1.18758,0.75096,1.05522,0.000869024,0.000869024,0.000869024
13,2964.42,1.24862,0.84896,1.05225,0.65614,0.63845,0.65399,0.43086,1.18392,0.74533,1.05243,0.000847026,0.000847026,0.000847026
14,3197.77,1.24391,0.8308,1.05047,0.66184,0.64488,0.65006,0.42404,1.2095,0.7415,1.0597,0.000825029,0.000825029,0.000825029
15,3430.62,1.22859,0.82424,1.04559,0.67096,0.64907,0.65526,0.43762,1.17329,0.7262,1.04885,0.000803031,0.000803031,0.000803031
16,3785.8,1.22482,0.82435,1.04496,0.68152,0.66701,0.68561,0.45249,1.19272,0.71633,1.04968,0.000781033,0.000781033,0.000781033
17,4002.67,1.21885,0.80894,1.03985,0.69421,0.66683,0.69304,0.46343,1.17938,0.70271,1.04586,0.000759035,0.000759035,0.000759035
18,4215.61,1.2074,0.79631,1.03536,0.69104,0.66534,0.68967,0.46394,1.15659,0.69815,1.0391,0.000737037,0.000737037,0.000737037
19,4431.56,1.20587,0.79331,1.03728,0.71209,0.67119,0.70417,0.47598,1.15861,0.68599,1.03921,0.00071504,0.00071504,0.00071504
20,4645.89,1.19233,0.77536,1.0286,0.70629,0.67785,0.70823,0.48085,1.14675,0.67649,1.03438,0.000693042,0.000693042,0.000693042
21,4859.87,1.19051,0.779,1.02881,0.734,0.6759,0.72026,0.49162,1.14017,0.67159,1.03028,0.000671044,0.000671044,0.000671044
22,5073.85,1.18949,0.7645,1.02843,0.72739,0.68465,0.72324,0.49342,1.14755,0.6681,1.03286,0.000649046,0.000649046,0.000649046
23,5287.39,1.18224,0.76255,1.02489,0.70503,0.68294,0.71101,0.47977,1.14612,0.67848,1.03417,0.000627048,0.000627048,0.000627048
24,5500.64,1.16917,0.75151,1.01867,0.73959,0.68538,0.73041,0.49744,1.12816,0.65648,1.02469,0.000605051,0.000605051,0.000605051
25,5714.54,1.16883,0.74651,1.01986,0.72316,0.68312,0.71615,0.48901,1.12782,0.65922,1.02579,0.000583053,0.000583053,0.000583053
26,5928.07,1.16459,0.73707,1.01587,0.73611,0.69721,0.73464,0.50359,1.12541,0.6477,1.02529,0.000561055,0.000561055,0.000561055
27,6141.26,1.15766,0.73029,1.01572,0.73545,0.70548,0.73905,0.50786,1.12075,0.64371,1.02189,0.000539057,0.000539057,0.000539057
28,6355.29,1.15467,0.72255,1.01301,0.74474,0.70223,0.74524,0.51347,1.11796,0.64228,1.02066,0.000517059,0.000517059,0.000517059
29,6569.4,1.14873,0.72035,1.01121,0.74244,0.70346,0.74671,0.51507,1.10812,0.63654,1.01612,0.000495062,0.000495062,0.000495062
30,6783.38,1.13636,0.7082,1.01022,0.74541,0.70486,0.75347,0.51849,1.11894,0.63164,1.02192,0.000473064,0.000473064,0.000473064
31,6997.01,1.13373,0.70169,1.00968,0.75491,0.7082,0.7556,0.52423,1.11064,0.62831,1.01763,0.000451066,0.000451066,0.000451066
32,7211.13,1.12773,0.69839,1.00396,0.74966,0.72027,0.7598,0.52771,1.1054,0.62101,1.01587,0.000429068,0.000429068,0.000429068
33,7425.12,1.12222,0.69355,1.00121,0.75147,0.71922,0.7628,0.53197,1.09841,0.61687,1.0132,0.00040707,0.00040707,0.00040707
34,7640.36,1.11309,0.68798,1.00011,0.76137,0.71798,0.76603,0.53475,1.09709,0.61207,1.01287,0.000385073,0.000385073,0.000385073
35,7853.87,1.10294,0.67395,0.99797,0.75935,0.72303,0.7679,0.53749,1.08879,0.61063,1.01038,0.000363075,0.000363075,0.000363075
36,8067.93,1.09963,0.67,0.99469,0.76555,0.72557,0.77286,0.54103,1.08528,0.60269,1.00963,0.000341077,0.000341077,0.000341077
37,8281.87,1.08273,0.65776,0.99108,0.7624,0.72271,0.76871,0.53873,1.08725,0.60472,1.01129,0.000319079,0.000319079,0.000319079
38,8505.2,1.07839,0.65742,0.99093,0.76785,0.72569,0.77076,0.54107,1.07394,0.59799,1.00657,0.000297081,0.000297081,0.000297081
39,8727.19,1.07726,0.64593,0.986,0.76677,0.72439,0.77238,0.54338,1.07206,0.59579,1.00512,0.000275084,0.000275084,0.000275084
40,8949.22,1.06433,0.64248,0.98562,0.76347,0.72638,0.77298,0.54384,1.07348,0.59417,1.00602,0.000253086,0.000253086,0.000253086
41,9195.41,1.05014,0.58595,1.00605,0.77458,0.73147,0.78329,0.55325,1.06025,0.58692,1.00174,0.000231088,0.000231088,0.000231088
42,9409.2,1.0442,0.57826,1.00234,0.77406,0.72742,0.78384,0.55435,1.0574,0.58522,1.0006,0.00020909,0.00020909,0.00020909
43,9616.12,1.02833,0.56512,0.99846,0.77199,0.73565,0.785,0.55518,1.05668,0.58268,0.99996,0.000187092,0.000187092,0.000187092
44,9820.99,1.02015,0.57134,0.99179,0.77907,0.73186,0.7854,0.55638,1.05408,0.58048,0.999,0.000165095,0.000165095,0.000165095
45,10025.2,1.01369,0.55004,0.98984,0.77947,0.73553,0.78728,0.55854,1.05215,0.57793,0.99827,0.000143097,0.000143097,0.000143097
46,10229.7,1.00696,0.54336,0.98726,0.77492,0.73628,0.78741,0.55957,1.04986,0.57545,0.99731,0.000121099,0.000121099,0.000121099
47,10433.6,1.00101,0.53714,0.9871,0.78261,0.73474,0.78939,0.56086,1.04674,0.57323,0.99631,9.91012e-05,9.91012e-05,9.91012e-05
48,10637.5,0.99184,0.53259,0.98176,0.78235,0.73773,0.78975,0.5612,1.04412,0.57205,0.99588,7.71034e-05,7.71034e-05,7.71034e-05
49,10841.6,0.98521,0.52639,0.97976,0.78916,0.73418,0.79149,0.56287,1.04474,0.5708,0.99656,5.51056e-05,5.51056e-05,5.51056e-05
50,11045.5,0.97971,0.5237,0.97608,0.78621,0.73634,0.79155,0.5636,1.04419,0.57094,0.99651,3.31078e-05,3.31078e-05,3.31078e-05
